"","habitat","tail.spines"
"Rhadinophis_prasina","non-saxicolous","non-spiny"
"Rhamphiophis_oxyrhynchus","non-saxicolous","non-spiny"
"Rhampholeon_acuminatus","non-saxicolous","non-spiny"
"Rhampholeon_beraduccii","non-saxicolous","non-spiny"
"Rhampholeon_spinosus","non-saxicolous","non-spiny"
"Rhampholeon_uluguruensis","non-saxicolous","non-spiny"
"Sceloporus_adleri","saxicolous","spiny"
"Sceloporus_aeneus","non-saxicolous","spiny"
"Sceloporus_bicanthalis","non-saxicolous","non-spiny"
"Sceloporus_bulleri","saxicolous","spiny"
"Sceloporus_carinatus","non-saxicolous","non-spiny"
"Sceloporus_chaneyi","non-saxicolous","spiny"
"Sceloporus_clarkii","non-saxicolous","non-spiny"
"Sceloporus_dugesii","saxicolous","spiny"
"Sceloporus_formosus","non-saxicolous","spiny"
"Sceloporus_goldmani","non-saxicolous","spiny"
"Sceloporus_graciosus","non-saxicolous","non-spiny"
"Sceloporus_horridus","non-saxicolous","spiny"
"Sceloporus_hunsakeri","saxicolous","spiny"
"Sceloporus_jarrovii","saxicolous","spiny"
"Sceloporus_licki","saxicolous","spiny"
"Sceloporus_lineatulus","non-saxicolous","spiny"
"Sceloporus_maculosus","saxicolous","spiny"
"Sceloporus_magister","non-saxicolous","spiny"
"Sceloporus_malachiticus","saxicolous","spiny"
"Sceloporus_melanorhinus","non-saxicolous","non-spiny"
"Sceloporus_merriami","saxicolous","non-spiny"
"Sceloporus_minor","saxicolous","spiny"
"Sceloporus_mucronatus","non-saxicolous","spiny"
"Sceloporus_nelsoni","non-saxicolous","non-spiny"
"Sceloporus_ochoterenae","saxicolous","spiny"
"Sceloporus_orcutti","saxicolous","spiny"
"Sceloporus_ornatus","non-saxicolous","spiny"
"Sceloporus_palaciosi","saxicolous","spiny"
"Sceloporus_poinsettii","saxicolous","spiny"
"Sceloporus_serrifer","saxicolous","spiny"
"Sceloporus_slevini","non-saxicolous","spiny"
"Sceloporus_spinosus","non-saxicolous","spiny"
"Sceloporus_torquatus","saxicolous","spiny"
"Sceloporus_utiformis","non-saxicolous","non-spiny"
"Sceloporus_variabilis","non-saxicolous","non-spiny"
"Simiscincus_aurantiacus","non-saxicolous","non-spiny"
"Sinonatrix_percarinata","non-saxicolous","non-spiny"
"Sistrurus_catenatus","non-saxicolous","non-spiny"
"Sphaerodactylus_goniorhynchus","non-saxicolous","non-spiny"
"Sphenomorphus_beyeri","non-saxicolous","non-spiny"
"Sphenomorphus_cumingi","non-saxicolous","non-spiny"
"Sphenomorphus_decipiens","non-saxicolous","non-spiny"
"Sphenomorphus_diwata","non-saxicolous","non-spiny"
"Sphenomorphus_jobiensis","non-saxicolous","non-spiny"
"Sphenomorphus_mindanensis","non-saxicolous","non-spiny"
"Stenocercus_angel","non-saxicolous","spiny"
"Stenocercus_apurimacus","saxicolous","spiny"
"Stenocercus_boettgeri","saxicolous","spiny"
"Stenocercus_chrysopygus","saxicolous","spiny"
"Stenocercus_crassicaudatus","saxicolous","non-spiny"
"Stenocercus_cupreus","saxicolous","spiny"
"Stenocercus_empetrus","saxicolous","spiny"
"Stenocercus_festae","non-saxicolous","spiny"
"Stenocercus_guentheri","saxicolous","spiny"
"Stenocercus_humeralis","saxicolous","spiny"
"Stenocercus_imitator","non-saxicolous","spiny"
"Stenocercus_marmoratus","saxicolous","spiny"
"Stenocercus_melanopygus","saxicolous","spiny"
"Stenocercus_ochoai","saxicolous","spiny"
"Stenocercus_orientalis","non-saxicolous","spiny"
"Stenocercus_ornatus","non-saxicolous","spiny"
"Stenocercus_puyango","saxicolous","spiny"
"Stenocercus_rhodomelas","saxicolous","spiny"
"Stenocercus_torquatus","non-saxicolous","spiny"
"Stenocercus_varius","saxicolous","spiny"
"Storeria_dekayi","non-saxicolous","non-spiny"
"Strophurus_intermedius","non-saxicolous","non-spiny"
"Strophurus_taeniatus","non-saxicolous","non-spiny"
"Strophurus_taenicauda","non-saxicolous","non-spiny"
"Taeniophallus_brevirostris","non-saxicolous","non-spiny"
"Tarentola_mindiae","non-saxicolous","non-spiny"
"Telescopus_fallax","non-saxicolous","non-spiny"
"Thamnophis_brachystoma","non-saxicolous","non-spiny"
"Thamnophis_butleri","non-saxicolous","non-spiny"
"Thamnophis_elegans","non-saxicolous","non-spiny"
"Thrasops_jacksonii","non-saxicolous","non-spiny"
"Tracheloptychus_petersi","non-saxicolous","non-spiny"
"Trachylepis_vittata","non-saxicolous","non-spiny"
"Trapelus_savignii","non-saxicolous","non-spiny"
"Tretanorhinus_nigroluteus","non-saxicolous","non-spiny"
"Tropidophorus_latiscutatus","saxicolous","non-spiny"
"Tropidurus_callathelys","saxicolous","spiny"
"Tropidurus_cocorobensis","non-saxicolous","spiny"
"Tropidurus_etheridgei","saxicolous","spiny"
"Tropidurus_hygomi","non-saxicolous","spiny"
"Tropidurus_insulanus","saxicolous","spiny"
"Tropidurus_itambere","saxicolous","spiny"
"Tropidurus_montanus","saxicolous","spiny"
"Tropidurus_mucujensis","saxicolous","spiny"
"Tropidurus_oreadicus","saxicolous","spiny"
"Tropidurus_spinulosus","saxicolous","spiny"
"Tympanocryptis_lineata","non-saxicolous","non-spiny"
"Tympanocryptis_uniformis","non-saxicolous","non-spiny"
"Typhlops_anchaurus","non-saxicolous","non-spiny"
"Typhlops_arenarius","non-saxicolous","non-spiny"
"Typhlops_capitulatus","non-saxicolous","non-spiny"
"Typhlops_congestus","non-saxicolous","non-spiny"
"Typhlops_contorhinus","non-saxicolous","non-spiny"
"Typhlops_elegans","non-saxicolous","non-spiny"
"Typhlops_lumbricalis","non-saxicolous","non-spiny"
"Typhlops_schwartzi","non-saxicolous","non-spiny"
"Typhlops_syntherus","non-saxicolous","non-spiny"
"Typhlosaurus_caecus","non-saxicolous","non-spiny"
"Typhlosaurus_meyeri","non-saxicolous","non-spiny"
"Uma_paraphygas","non-saxicolous","non-spiny"
"Uma_scoparia","non-saxicolous","non-spiny"
"Uracentron_flaviceps","non-saxicolous","spiny"
"Uromastyx_acanthinura","non-saxicolous","spiny"
"Uromastyx_aegyptia","saxicolous","spiny"
"Uromastyx_asmussi","non-saxicolous","spiny"
"Uromastyx_benti","saxicolous","spiny"
"Uromastyx_dispar","saxicolous","spiny"
"Uromastyx_geyri","saxicolous","spiny"
"Uromastyx_hardwickii","non-saxicolous","spiny"
"Uromastyx_loricata","non-saxicolous","spiny"
"Uromastyx_macfadyeni","non-saxicolous","spiny"
"Uromastyx_ocellata","saxicolous","spiny"
"Uromastyx_ornata","saxicolous","spiny"
"Uromastyx_princeps","saxicolous","spiny"
"Uromastyx_thomasi","non-saxicolous","spiny"
"Uromastyx_yemenensis","saxicolous","spiny"
"Uroplatus_guentheri","non-saxicolous","non-spiny"
"Urostrophus_gallardoi","non-saxicolous","non-spiny"
"Varanus_acanthurus","saxicolous","spiny"
"Varanus_baritji","saxicolous","spiny"
"Varanus_caudolineatus","non-saxicolous","non-spiny"
"Varanus_macraei","non-saxicolous","non-spiny"
"Varanus_primordius","saxicolous","spiny"
"Varanus_rainerguentheri","non-saxicolous","non-spiny"
"Varanus_salvator","non-saxicolous","non-spiny"
"Varanus_storri","saxicolous","spiny"
"Varanus_timorensis","non-saxicolous","non-spiny"
"Viridovipera_stejnegeri","non-saxicolous","non-spiny"
"Xantusia_riversiana","non-saxicolous","non-spiny"
"Xenopeltis_unicolor","non-saxicolous","non-spiny"
"Xenotyphlops_grandidieri","non-saxicolous","non-spiny"
"Zonosaurus_bemaraha","saxicolous","non-spiny"
"Zonosaurus_boettgeri","non-saxicolous","non-spiny"
"Zonosaurus_tsingy","saxicolous","non-spiny"
