"","habitat","tail.spines"
"Bradypodion_taeniabronchum","non-saxicolous","non-spiny"
"Brookesia_brygooi","non-saxicolous","non-spiny"
"Brookesia_ebenaui","non-saxicolous","non-spiny"
"Brookesia_karchei","non-saxicolous","non-spiny"
"Brookesia_lineata","non-saxicolous","non-spiny"
"Brookesia_peyrierasi","non-saxicolous","non-spiny"
"Brookesia_stumpffi","non-saxicolous","non-spiny"
"Brookesia_superciliaris","non-saxicolous","non-spiny"
"Brookesia_thieli","non-saxicolous","non-spiny"
"Brookesia_valerieae","non-saxicolous","non-spiny"
"Calotes_emma","non-saxicolous","non-spiny"
"Calumma_boettgeri","non-saxicolous","non-spiny"
"Calumma_crypticum","non-saxicolous","non-spiny"
"Calumma_cucullatum","non-saxicolous","non-spiny"
"Calumma_oshaughnessyi","non-saxicolous","non-spiny"
"Calyptommatus_nicterus","non-saxicolous","non-spiny"
"Calyptotis_scutirostrum","non-saxicolous","non-spiny"
"Carlia_amax","non-saxicolous","non-spiny"
"Carlia_munda","non-saxicolous","non-spiny"
"Carlia_rubrigularis","non-saxicolous","non-spiny"
"Carlia_vivax","non-saxicolous","non-spiny"
"Carphophis_amoenus","non-saxicolous","non-spiny"
"Causus_rhombeatus","non-saxicolous","non-spiny"
"Ceratophora_aspera","non-saxicolous","non-spiny"
"Cercosaura_ocellata","non-saxicolous","non-spiny"
"Cerrophidion_petlalcalensis","non-saxicolous","non-spiny"
"Cerrophidion_tzotzilorum","non-saxicolous","non-spiny"
"Chalcides_chalcides","non-saxicolous","non-spiny"
"Chalcides_mauritanicus","non-saxicolous","non-spiny"
"Chalcides_montanus","non-saxicolous","non-spiny"
"Chalcides_sepsoides","non-saxicolous","non-spiny"
"Chalcides_sexlineatus","non-saxicolous","non-spiny"
"Chalcides_viridanus","non-saxicolous","non-spiny"
"Chamaeleo_balebicornutus","non-saxicolous","non-spiny"
"Chamaeleo_ellioti","non-saxicolous","non-spiny"
"Chamaeleo_jacksonii","non-saxicolous","non-spiny"
"Chamaeleo_narraioca","non-saxicolous","non-spiny"
"Chamaeleo_necasi","non-saxicolous","non-spiny"
"Chamaeleo_pfefferi","non-saxicolous","non-spiny"
"Chilomeniscus_stramineus","non-saxicolous","non-spiny"
"Chioninia_stangeri","non-saxicolous","non-spiny"
"Chioninia_vaillantii","non-saxicolous","non-spiny"
"Chironius_scurrulus","non-saxicolous","non-spiny"
"Compsophis_albiventris","non-saxicolous","non-spiny"
"Compsophis_laphystius","non-saxicolous","non-spiny"
