species,habitat
Tel_inopia,forest+fringe+open
Tel_misenus,forest
Myc_francisca_ulia?,forest+fringe+open
Myd_bazochii,forest
Loh_dinon,forest+fringe
Bic_danckelmani,forest
Bic_makomensis,forest
Bic_dorothea_concolour,forest+fringe
Bic_jacksoni,forest
Tel_mara,forest+fringe+open
Myc_madjicosa_madjicosa,forest+fringe+open
Loh_anna,forest+fringe
Myd_sara,forest+fringe
Myd_splendens_tenebrosus,forest+fringe
Myd_richardi,forest
Myd_splendens_guadalcanalensis,forest+fringe
Myd_interrupta_1,forest+fringe
Myd_splendens_versicolor,forest+fringe
Myd_splendens_malaitensis,forest+fringe
Myd_splendens_splendens,forest+fringe
Myd_splendens_magnificans,forest+fringe
Myd_interrupta_2,forest+fringe
Loh_hypnus,forest
Bic_ignobilis,forest
Bic_vulgaris,forest+fringe+open
Bic_buea,forest
Myc_anaxias_anaxias,forest
Myc_oroatis,forest
Myd_asophis,forest+fringe
Myd_woxvoldi,open
Myc_gotama_gotama?,forest+fringe+open
Myc_perseus_tabitha,fringe+open
Myd_itys,forest+fringe
Tel_mausonia,fringe+open
Myc_mucianus_mucianus,forest+fringe+open
Loh_dexamaneus,forest
Myd_dohertyi,forest
Tel_megamerde_opaculus,forest+fringe+open
Cul_kina/amoena,forest+fringe
Loh_imitatrix,forest
Myd_mulleri,forest
Loh_susah,forest
Loh_opthalmicus,forest+fringe
Loh_tanuki,forest
Myc_anaxias_aemate,forest
Myc_mineus_polydecta,fringe+open
Myc_perseoides,fringe+open
Tel_parva,forest
Myc_intermedia_intermedia,forest+fringe+open
Myc_gotama_charaka?,forest+fringe+open
Tel_malsara,fringe+open
Myc_indermedia_distanti,forest+fringe+open
Myd_mehadeva,forest+fringe
Myd_mucia,forest+fringe
Myc_mynois,open
Myd_duponcheli_2,forest+fringe
Myd_aethiops,fringe
Myd_barbara,forest
Myd_cacodaemon_bizonata,forest
Myd_discolobus,open
Myd_elia,forest+fringe+open
Myc_francisca_sanatana/albofasciata,forest+fringe+open
Myc_visala_visala,forest+fringe+open
