"","V1"
"Jatropha_gossypiifolia",2
"Hura",2
"Stillingia",3
"Sapium",3
"Neoguillauminia_cleopatra",2
"Euphorbia_falcata",3
"Euphorbia_terracina",2
"Euphorbia_dregeana",2
"Euphorbia_milii",2
"Bryonia",2
"Citrullus_colocynthis",2
"Lagenaria_siceraria",2
"Fagus_sylvatica",2
"Castanea_sativa",2
"Quercus_acutissima",2
"Quercus_robur",2
"Alnus_sieboldiana",2
"Alnus_glutinosa",2
"Zelkova_serrata",2
"Ulmus_pumila",3
"Morus_alba",2
"Ficus_elastica",3
"Chamaerhodos_erecta",2
"Prunus_avium",2
"Malus_halliana",2
"Polygala_sibirica",3
"Bauhinia",3
"Parkinsonia_aculeata",2
"Acacia_baileyana",2
"Arachis",2
"Sophora_japonica",2
"Baptisia_tinctoria",2
"Sophora_flavescens",2
"Crotalaria",2
"Lupinus_arizonicus",2
"Laburnum_anagyroides",2
"Amorpha",2
"Chorizema",2
"Phyllodium_pulchellum",2
"Uraria",2
"Erythrina",2
"Strongylodon_macrobotrys",2
"Dumasia",2
"Pueraria",2
"Glycine_clandestina",3
"Wisteria_sinensis",2
"Cicer_reticulatum",2
"Lens_culinaris",2
"Pisum_sativum",2
"Lathyrus_sylvestris",2
"Medicago_rigidula",2
"Medicago_arborea",2
"Myrothamnus_moschata",2
"Gunnera_macrophylla",2
"Ximenia_americana",2
"Olax",3
"Lysiana_exocarpi",2
"Dendrophthoe",2
"Comandra_umbellata",2
"Mida_salicifolia",3
"Eubrachion_ambiguum",2
"Osyris",2
"Santalum_yasi",3
"Drosera_indica",3
"Drosera_rotundifolia",3
"Drosera_filliformis",2
"Drosera_alba",3
"Myricaria_germanica",3
"Limonium_sinuatum",3
"Coccoloba",3
"Persicaria_longiseta",3
"Fagopyrum_tataricum",3
"Fagopyrum_callianthum",3
"Polygonum_aviculare",3
"Rheum_officinale",3
"Rumex_crispus",3
"Rumex_vesicarius",2
"Trianthema",3
"Sesuvium_portulacastrum",3
"Lampranthus",3
"Portulaca_oleracea",3
"Portulaca_grandiflora",3
"Pereskia",3
"Cereus",3
"Echinopsis",3
"Deeringia",3
"Atriplex_patula",3
"Suaeda",3
"Salicornia",3
"Salsola_kali",3
"Cornus_florida",2
"Cornus_kousa",2
"Jamesia_americana",2
"Philadelphus",2
"Hydrangea_macrophylla",2
"Marcgravia",2
"Impatiens_parviflora",2
"Impatiens_balsamina",2
"Impatiens_walleriana",2
"Trientalis_europaea",2
"Anagallis_pumila",2
"Diospyros_kaki",3
"Sideroxylon",3
"Madhuca",3
"Actinidia_deliciosa",2
"Asteranthos_brasiliensis",2
"Scytopetalum_tieghemii",2
"Halesia",2
"Collomia_grandiflora",2
"Menziesia_pentandra",2
"Epacris_impressa",3
"Cyathodes",3
"Astroloma_humifusum",2
"Pentachondra_involucrata",2
"Pieris",2
"Gaultheria_antipoda",2
"Vaccinium_vitis",2
"Vaccinium_macrocarpon",2
"Sambucus_racemosa",3
"Viburnum_lantana",3
"Lonicera_periclymenum",3
"Scabiosa_columbaria",3
"Dipsacus_asperoides",3
"Tetrapanax_papyrifer",3
"Hedera_helix",3
"Aralia_cordata",3
"Pseudopanax_crassifolius",3
"Neopanax",3
"Eryngium_planum",3
"Smyrnium",3
"Laserpitium_siler",3
"Carum_carvi",3
"Foeniculum_vulgare",3
"Coriandrum_sativum",3
"Angelica",3
"Platycodon_grandiflorus",2
"Codonopsis_pilosula",2
"Campanula_rapunculoides",2
"Campanula_lasiocarpa",3
"Levenhookia",3
"Corokia_cotoneaster",2
